expo_id,titel,malgrupp,max_deltagare,programlangd_min,total_besokstid_min,kommentar
1,"Månen, solen och stjärnorna",F-3,30,75,90,"Excel anger ""90 (75)""; kolumnen ?vrigt anger 75 minuter programtid och d?refter en kvart i annan avdelning. Excel anger antal elever: ""5-30 hård gräns"". Excel, ?vrigt: Programmet är 75 minuter och vi erbjuder sedan en kvart i en annan avdelning"
3,Kemibus med draken Berta,"från 4 år, Anp gr / anp gy",16,60,90,"GRANSKA: Excel anger ""90 program varav ca 30 fritt""; programtid har tolkats som cirka 60 minuter och total besokstid som 90 minuter. Excel anger antal elever: ""5-12 Hård gräns vid en pedagog, annars upp till 16 barn vid två ped""."
5,De Globala målen - vägen till en hållbar framtid,Åk 7-9 + gy,30,75,75,"Excel anger antal elever: ""5-30 men vid fler än 25 behövs annan lokal än Landa t ex Insperia""."
6,Utblick i universum,7-9 + gy,30,60,60,"GRANSKA: Excel inneh?ller tv? rader f?r Expo-ID 6. De relevanta f?lten ?r lika, men en rad har ?vrigt: ""Skruva p? inneh?ll i f?rh?llande till l?roplanen. ?ndra texten""."
7,Träffa skelettet Benny,F-1,30,60,75,"Excel anger ""75 (60)""; kolumnen ?vrigt anger 60 minuter programtid och d?refter en kvart i annan avdelning. Excel anger antal elever: ""5-30 hård gräns"". Excel, ?vrigt: Programmet är 60 minuter och vi erbjuder sedan en kvart i en annan avdelning"
8,Digestiva och matens väg genom kroppen,2-3,30,60,75,"Excel anger ""75 (60)""; kolumnen ?vrigt anger 60 minuter programtid och d?refter en kvart i annan avdelning. Excel anger antal elever: ""5-30 hård gräns"". Excel, ?vrigt: Programmet är 60 minuter och vi erbjuder sedan en kvart i en annan avdelning"
10,Nollan kommer på besök,F-1,30,75,90,"Excel anger ""90 (75)""; kolumnen ?vrigt anger 75 minuter programtid och d?refter en kvart i annan avdelning. Excel anger antal elever: ""5-30 hård gräns"". Excel, ?vrigt: Programmet är 75 minuter och vi erbjuder sedan en kvart i en annan avdelning"
11,Kemiexperiment med draken Berta,F-3,24,75,90,"Excel anger ""90 (75)""; kolumnen ?vrigt anger 75 minuter programtid och d?refter en kvart i annan avdelning. Excel anger antal elever: ""5-24 hård gräns"". Excel, ?vrigt: Programmet är 75 minuter och vi erbjuder sedan en kvart i en annan avdelning"
12,Kemiutmaningen,4-7,24,90,90,"Excel anger antal elever: ""5-24 hård gräns""."
13,Historien om metern,2-3,30,75,90,"Excel anger ""90 (75)""; kolumnen ?vrigt anger 75 minuter programtid och d?refter en kvart i annan avdelning. Excel anger antal elever: ""5-30 hård gräns"". Excel, ?vrigt: Programmet är 75 minuter och vi erbjuder sedan en kvart i en annan avdelning"
14,MOBILT Utomhusprogram - Svampar och nedbrytning,F-6,100,60,60,"GRANSKA: Excel anger ""ca 60""; tiden ?r ungef?rlig."
16,MOBILT Utomhusprogram - De fem mäktiga,1-6,100,60,60,"GRANSKA: Excel inneh?ller tv? rader f?r Expo-ID 16 med olika programtid: ""ca 60"" och ""60"". Normaliserad tid ?r 60 minuter; kontrollera om tiden ska anges som ungef?rlig."
17,MOBILT Utomhusprogram Matematik i rörelse: Lekar och utmaningar ,F-3,100,60,60,"GRANSKA: Excel anger ""ca 60""; tiden ?r ungef?rlig."
20,Nyfiken på rymden,4-6,30,90,90,"Excel anger antal elever: ""5-30 hård gräns""."
21,Vår fascinerande kropp,4-6,30,90,90,"Excel anger antal elever: ""5-30 hård gräns""."
22,Elektriska kretsar och magnetiska fält,4-6,30,90,90,"Excel anger antal elever: ""5-30 hård gräns"". Excel, ?vrigt: Innehållet/aktiviteterna ändras till viss del inför hösten. Fedoua och Nina"
27,Hjälp Al-Khwarizmi att lösa problem,4-6,30,90,90,"Excel anger antal elever: ""5-30 hård gräns""."
