powerpoint_rubrik;matchad_expo_id;matchad_titel;praktisk_information;matchstatus;kommentar
Kemibus med draken Berta;3;Kemibus med draken Berta;Upplägg för besöket: | Saga med experiment | Gemensamt experiment för hela gruppen | Barnen tar på sig labbrockar och experimenterar själva | Avslutande experiment tillsammans | Programmet börjar i ”Bertas Grotta” där vi läser en saga och gör spännande experiment under berättelsens gång. Bland annat kommer en liten burk att skjutas iväg med en liten smäll och Berta kan även spruta eld. Om något barn är känsligt för höga ljud eller eld är det bra om ni förbereder dem på detta. Berätta gärna för oss om något barn är känsligt. | Under besöket får barnen träffa draken Berta. En busig liten handdocka som älskar kemi och experiment! | Besöket äger rum i en | labbsal | på entréplan. | Vi använder skyddsutrustning i form av labbrockar och eventuellt skyddsglasögon. | Vi använder vardagskemikalier som citronsyra, bikarbonat, brustabletter. | Berta kommer att spruta eld, och det kommer bli en liten smäll av en burk som skjuts iväg med koldioxid.;s?ker;
Tundas fysikcirkus;93;Tundas fysikcirkus;Besöket är i vår utställning | Upptecha | som är belägen på våning 2 – det finns hiss. | Det förekommer en clown samt ballonger under introduktionen. | Barnen kommer delas in i smågrupper efter introduktionen. | Barnen kommer att arbeta i smågrupper under besöket.;s?ker;
På rymdäventyr med Tant Sol;138;På rymdäventyr med Tant Sol;Besöket är i vår utställning Astronoma som är belägen på våning 2 – det finns hiss. | Astronoma är en utställningsmiljö som kan upplevas som något mörkare än vanligt. | Under skolbesöket kommer vi att spränga en vätgasballong, det innebär att det blir en hög smäll som kan upplevas som obehaglig. | Det förekommer ballonger i introduktionen.;s?ker;
bygg och programmera med LEGO®;122;Bygg och programmera med LEGO® ;Skolprogrammet äger rum på Navets entréplan. | Under inledningen sitter barnen i en gradäng vid en liten scen, därefter sker bygge och programmering i ett separat rum. | Vi använder Chromebooks tillsammans med mus som styrdon. | Eleverna jobbar två och två. Vid udda antal elever föreslår vi att ett barn jobbar själv med en vuxen. Det går att jobba tre också, men med risk för att en blir utanför.;s?ker;
Månen, solen och stjärnorna;1;Månen, solen och stjärnorna;Besöket är i vår utställning Astronoma som är belägen på våning 2 – det finns hiss. | Astronoma är en utställningsmiljö som kan upplevas som något mörkare än vanligt. | Under skolbesöket kommer vi att spränga en vätgasballong, det innebär att det blir en hög smäll som kan upplevas som obehaglig. | Det förekommer ballonger i introduktionen.;s?ker;
Träffa skelettet Benny;7;Träffa skelettet Benny;Besöket är i vår utställning Humana som är belägen på våning 1. | Eleverna behåller skor på i entrén, men tar av sig skorna utanför Humana. | Eleverna sitter på en matta under vår inledning.;s?ker;
Digestiva och matens väg genom kroppen;8;Digestiva och matens väg genom kroppen;Besöket är i vår utställning Humana som är belägen på våning 1. | Eleverna behåller skor på i entrén, men tar av sig skorna utanför Humana. | Eleverna sitter på en matta under vår inledning. | I början av skolprogrammet får eleverna en liten bit hårt bröd att tugga på.;s?ker;
Nollan kommer på besök;10;Nollan kommer på besök;Besöket är i vår utställning | Matemagica | som är belägen på våning 2, hiss finns. | Eleverna kommer få hjälpa al- | Khwarizmi | och | Brahmagupta | lösa problem i mindre grupper.;s?ker;
Historien om metern;13;Historien om metern;Besöket är i vår utställning | Matemagica | som är belägen på våning 2, hiss finns. | Eleverna kommer delas upp i 2 eller 3 grupper för att sedan testa på att uppskatta: tid, vikt och längd.;s?ker;
Kemiexperiment med draken Berta;11;Kemiexperiment med draken Berta;Upplägg för besöket: | Saga med experiment | Gemensamt experiment för hela gruppen | Barnen tar på sig labbrockar och experimenterar själva | Avslutande experiment tillsammans | Programmet börjar i ”Bertas Grotta” där vi läser en saga och gör spännande experiment under berättelsens gång. Bland annat kommer en liten burk att skjutas iväg med en liten smäll och Berta kan även spruta eld. Om något barn är känsligt för höga ljud eller eld är det bra om ni förbereder dem på detta. Berätta gärna för oss om något barn är känsligt. | Under besöket får barnen träffa draken Berta. En busig liten handdocka som älskar kemi och experiment! | Besöket äger rum i en | labbsal | på entréplan. | Vi använder skyddsutrustning i form av labbrockar och eventuellt skyddsglasögon. | Vi använder vardagskemikalier som citronsyra, bikarbonat, brustabletter. | Berta kommer att spruta eld, och det kommer bli en liten smäll av en burk som skjuts iväg med koldioxid.;s?ker;
När livet formas av miljön - djurs och växters anpassningar;121;MOBILT När livet formas av miljön - djurs och växters anpassningar;Programmet är ca 50 min långt, det behövs 15 min mellan grupperna för att återställa | Vi önskar tillgång till projektor och gärna till vatten | Vi önskar vara i samma klassrum under hela besöket. | Dela klassen i 6 st. grupper införbesöket.;s?ker;
Svampar och nedbrytning;14;MOBILT Utomhusprogram - Svampar och nedbrytning;Besöket är på plats ute hos er eller uppe vid vår naturskola belägen på Ramshulan. | Vi behöver tillgång till en barrskog (inte ungskog). | Barnen kommer att gå förhållandevis fritt så de är bra om de känner till skogen och vilka gränser som finns. | Svamptillgången varierar med vädret som har varit. Vissa skogar är torkkänsligare än andra, så vid torrt väder vill vi genomföra övningarna i blötare skog. | Det här skolprogrammet går att genomföra i varierat väder.;s?ker;
Djur och växter i skogen;140;MOBILT Utomhusprogram - Djur och växter i skogen;Besöket är på plats ute hos er eller uppe vid vår naturskola belägen på Ramshulan. | Barnen kommer att gå förhållandevis fritt så det är bra om de känner till skogen och vilka gränser som finns. | Det här skolprogrammet går att genomföra i varierat väder.;s?ker;
De fem mäktiga;16;MOBILT Utomhusprogram - De fem mäktiga;Besöket är på plats ute hos er eller uppe vid vår naturskola belägen på Ramshulan. | Det förekommer tunga vattendunkar som barnen ska förflytta under programmets gång. | Om vi är ute på plats hos er behöver vi ett område som inte störs när övriga elever är ute på rast. | På platsen för genomförandet behöver det finnas något att hänga upp rep i, tex. träd, samt något större sten och/eller parkbänk. | Eleverna kommer att jobba i smågrupper under skolprogrammet.;s?ker;
Stjärntältet;130;MOBILT Stjärntältet NAVET 30 år;Besöket är på plats ute hos er. Vi behöver tillgång till en stor lokal, helst en gympasal, för att stjärntältet ska få plats. | Inne i stjärntältet förstärks ljud. Därför är det av stor vikt att barnen inte pratar rakt ut eller med varandra.;m?jlig;"GRANSKA: PowerPoint-rubriken ?r f?rkortad eller avviker fr?n officiell titel; matchad titel: ""MOBILT Stjärntältet NAVET 30 år""."
Matematik i rörelse: Lekar och utmaningar;17;MOBILT Utomhusprogram Matematik i rörelse: Lekar och utmaningar ;Besöket är på plats ute hos er. | Vi behöver en öppen yta att leka/springa på, tex en fotbollsplan eller annan gräsplan. | Barnen kommer röra på sig och springa. | Det här skolprogrammet går att genomföra i varierat väder.;s?ker;
Vår fascinerande kropp;21;Vår fascinerande kropp;Besöket är i vår utställning Humana som är belägen på våning 1. | Eleverna behåller skor på i entrén, men tar av sig skorna utanför Humana. | Eleverna sitter på en matta under vår inledning.;s?ker;
